@@158942	##	fo
The	the	at
New	new	jj
Republic	republic	nn1
,	,	y
introducing	introduce	vvg
Contributor	contributor	nn1
Percy	percy	np1
Winner	winner	nn1
to	to	ii
its	its	appge
readers	reader	nn2
last	last	md
week	week	nnt1
,	,	y
solemnly	solemnly	rr
repeated	repeat	vvd_vvn
his	his	appge
own	own	da
fancy	fancy	jj_nn1
description	description	nn1
of	of	io
himself	himself	ppx1
as	as	ii_csa
a	a	at1
"	"	"
depth	depth	nn1
journalist	journalist	nn1
.	.	y
"	"	"
Just	just	rr
what	what	ddq
a	a	at1
depth	depth	nn1
journalist	journalist	nn1
does	do	vdz
was	be	vbdz
carefully	carefully	rr
explained	explain	vvn
by	by	ii
the	the	at
editors	editor	nn2
:	:	y
"	"	"
He	he	pphs1
writes	write	vvz
on	on	ii
psychological	psychological	jj
aspects	aspect	nn2
of	of	io
modern	modern	jj
politics	politics	nn1
with	with	iw
special	special	jj
reference	reference	nn1
to	to	ii
the	the	at
factor	factor	nn1
of	of	io
mass	mass	jj_nn1
irrationality	irrationality	nn1
.	.	y
"	"	"
