@@159542	##	fo
INDIA	india	np1
<P>	<p>	null	
The	the	at
armed	armed	jj
might	might	nn1%
of	of	io
the	the	at
British	british	jj
Raj	raj	np1
stood	stand	vvd
on	on	ii
the	the	at
alert	alert	jj_nn1@
for	for	if
further	far	jjr@
trouble	trouble	nn1
.	.	y
Although	although	cs
mutinous	mutinous	jj
seamen	seaman	nn2
returned	return	vvn_vvd
to	to	ii
their	their	appge
duties	duty	nn2
,	,	y
sympathy	sympathy	nn1
strikes	strike	nn2
broke	break	vvd
out	out	rp
.	.	y
Boiling	boil	vvg_jj
India	india	np1
last	last	md
week	week	nnt1
had	have	vhd
cooled	cool	vvn
down	down	rp
to	to	ii
a	a	at1
simmer	simmer	vv0
.	.	y
<P>	<p>	null	
General	general	jj_nn1
Sir	sir	nnb
Claude	claude	np1
Auchinleck	auchinleck	np1
,	,	y
British	british	jj
Commander	commander	nn1
in	in	ii
Chief	chief	nn1_jj
in	in	ii
India	india	np1
,	,	y
made	make	vvd_vvn
two	two	mc
concessions	concession	nn2
:	:	y
1	1	mc1
)	)	y
Indian	indian	jj
troops	troop	nn2
,	,	y
whose	whose	ddqge
recall	recall	nn1@
from	from	ii
Indonesia	indonesia	np1
was	be	vbdz
demanded	demand	vvn
by	by	ii
nationalist	nationalist	jj_nn1
rioters	rioter	nn2
,	,	y
will	will	vm
be	be	vbi
withdrawn	withdraw	vvn
within	within	ii
five	five	mc
months	month	nnt2
;	;	y
2	2	mc
)	)	y
there	there	ex_rl
will	will	vm
be	be	vbi
no	no	at
mass	mass	jj_nn1
punishment	punishment	nn1
of	of	io
mutineers	mutineer	nn2
and	and	cc
rioters	rioter	nn2
.	.	y
<P>	<p>	null	
But	but	ccb
even	even	rr
while	while	cs
Indian	indian	jj
leaders	leader	nn2
were	be	vbdr
condemning	condemn	vvg
the	the	at
mutiny	mutiny	nn1
and	and	cc
riots	riot	nn2
,	,	y
there	there	ex
were	be	vbdr
threats	threat	nn2
of	of	io
further	far	jjr@
violence	violence	nn1
.	.	y
Simmering	simmering	jj
India	india	np1
might	might	vm
soon	soon	rr
boil	boil	vvi
again	again	rt
.	.	y
