@@174312	##	fo
Some	some	dd
of	of	io
the	the	at
problems	problem	nn2
of	of	io
mutual	mutual	jj
understanding	understanding	nn1
that	that	cst_dd1
will	will	vm
arise	arise	vvi
when	when	rrq_cs
the	the	at
Big	big	jj
Three	three	mc
meet	meet	nn1%
were	be	vbdr
typified	typify	vvn
in	in	ii
small	small	jj
when	when	cs
the	the	at
wife	wife	nn1
of	of	io
a	a	at1
U.S.	u.s.-	np1
diplomat	diplomat	nn1
questioned	question	vvd_vvn
a	a	at1
Soviet	soviet	jj
general	general	nn1
at	at	ii
a	a	at1
recent	recent	jj
dinner	dinner	nn1
party	party	nn1
:	:	y
<P>	<p>	null	
She	she	pphs1
:	:	y
"	"	"
What	what	ddq
is	be	vbz
Russia	russia	np1
's	's	ge
present	present	jj_nn1
aim	aim	nn1
?	?	y
"	"	"
<P>	<p>	null	
He	he	pphs1
:	:	y
"	"	"
To	to	to
defeat	defeat	vvi
our	our	appge
enemy	enemy	nn1
.	.	y
"	"	"
<P>	<p>	null	
She	she	pphs1
:	:	y
"	"	"
What	what	ddq
are	be	vbr
you	you	ppy
going	go	vvg
to	to	to
do	do	vdi
with	with	iw
Poland	poland	np1
?	?	y
"	"	"
<P>	<p>	null	
He	he	pphs1
:	:	y
"	"	"
Liberate	liberate	vv0
her	her	ppho1
.	.	y
"	"	"
<P>	<p>	null	
She	she	pphs1
:	:	y
"	"	"
And	and	cc
with	with	iw
Germany	germany	np1
?	?	y
"	"	"
<P>	<p>	null	
He	he	pphs1
:	:	y
"	"	"
Conquer	conquer	vv0
her	her	ppho1
.	.	y
"	"	"
<P>	<p>	null	
She	she	pphs1
:	:	y
"	"	"
What	what	ddq
will	will	vm
you	you	ppy
do	do	vdi
when	when	cs
you	you	ppy
get	get	vv0
to	to	ii
the	the	at
Rhine	rhine	np1
?	?	y
"	"	"
<P>	<p>	null	
He	he	pphs1
:	:	y
"	"	"
Take	take	vv0
a	a	at1
swim	swim	nn1
.	.	y
"	"	"
