@@226476	##	fo
San	san	np1
Franciscans	franciscans	np1
turned	turn	vvd
their	their	appge
attention	attention	nn1
to	to	ii
a	a	at1
lengthy	lengthy	jj
municipal	municipal	jj
psychiatric	psychiatric	jj
report	report	nn1
on	on	ii
the	the	at
question	question	nn1
:	:	y
"	"	"
What	what	ddq
makes	make	vvz
women	woman	nn2
promiscuous	promiscuous	jj
?	?	y
"	"	"
Some	some	dd
reasons	reason	nn2
,	,	y
based	base	vvn
on	on	ii
interviews	interview	nn2
with	with	iw
365	365	mc
girls	girl	nn2
over	over	ii
a	a	at1
period	period	nn1
of	of	io
17	17	mc
months	month	nnt2
:	:	y
loneliness	loneliness	nn1
,	,	y
boredom	boredom	nn1
,	,	y
curiosity	curiosity	nn1
,	,	y
spite	spite	nn1
,	,	y
emotional	emotional	jj
dependence	dependence	nn1
,	,	y
a	a	at1
desire	desire	nn1
to	to	to
conquer	conquer	vvi
,	,	y
maladaptation	maladaptation	nn1
,	,	y
poor	poor	jj
environment	environment	nn1
,	,	y
broken	broken	jj
homes	home	nn2
,	,	y
the	the	at
desire	desire	nn1
to	to	to
hold	hold	vvi
a	a	at1
man	man	nn1
's	's	ge
affections	affection	nn2
.	.	y
Only	only	rr
5%	5%	nnu
were	be	vbdr
interested	interested	jj
in	in	ii
money	money	nn1
,	,	y
and	and	cc
then	then	rt
as	as	ii_csa
an	an	at1
afterthought	afterthought	nn1
.	.	y
<P>	<p>	null	
Girls	girl	nn2
like	like	ii
Rosie	rosie	np1
,	,	y
a	a	at1
17-year-old	17-year-old	jj
Negro	negro	nn1
,	,	y
were	be	vbdr
in	in	ii
a	a	at1
sharp	sharp	jj
minority	minority	nn1
.	.	y
She	she	pphs1
said	say	vvd
"	"	"
.	.	y
.	.	y
.	.	y
she	she	pphs1
enjoyed	enjoy	vvd
sexual	sexual	jj
relations	relation	nn2
.	.	y
"	"	"
