@@705558	##	fo
txt	txt	nnu
Tremendous	tremendous	jj
enlargement	enlargement	nn1
of	of	io
the	the	at
railroads	railroad	nn2
'	'	ge
equipment	equipment	nn1
supply	supply	nn1_vv0
to	to	to
handle	handle	vvi
record	record	nn1
defense	defense	nn1
traffic	traffic	nn1
loads	load	nn2
in	in	ii
1942-43	1942-43	mcmc
and	and	cc
immediate	immediate	jj
action	action	nn1
to	to	to
forestall	forestall	vvi
possible	possible	jj
car	car	nn1
shortages	shortage	nn2
before	before	ii_cs
the	the	at
car	car	nn1
pool	pool	nn1
can	can	vm
be	be	vbi
augmented	augment	vvn
will	will	vm
be	be	vbi
considered	consider	vvn
at	at	ii
a	a	at1
mass	mass	jj_nn1
meeting	meeting	nn1
of	of	io
railroad	railroad	nn1
presidents	president	nn2
In	in	ii
Chicago	chicago	np1
Monday	monday	npd1
.	.	y
Following	follow	vvg_ii@
its	its	appge
recommendation	recommendation	nn1
that	that	cst
the	the	at
carriers	carrier	nn2
increase	increase	vv0
their	their	appge
car	car	nn1
ownership	ownership	nn1
by	by	ii
270,000	270,000	mc
units	unit	nn2
net	net	vv0@_nn1_jj
during	during	ii
the	the	at
next	next	md
two	two	mc
yearn	yearn	vv0
.	.	y
the	the	at
Association	association	nn1
of	of	io
American	american	jj
Railroads	railroad	nn2
summoned	summon	vvd_vvn
the	the	at
rail	rail	nn1
chieftains	chieftain	nn2
into	into	ii
session	session	nnt1
to	to	ii
strew	strew	vvd
;	;	y
the	the	at
vital	vital	jj
importance	importance	nn1
of	of	io
buying	buy	vvg
the	the	at
additional	additional	jj
cars	car	nn2
as	as	rg
fast	fast	rr_jj
as	as	csa
they	they	pphs2
can	can	vm
be	be	vbi
built	build	vvn
,	,	y
and	and	cc
to	to	to
plan	plan	vvi
for	for	if
the	the	at
allocation	allocation	nn1
of	of	io
orders	order	nn2
among	among	ii
manufacturers	manufacturer	nn2
so	so	cs21
that	that	cs22
mass	mass	jj
production	production	nn1
may	may	vm
be	be	vbi
obtained	obtain	vvn
.	.	y
To	to	to
acquire	acquire	vvi
the	the	at
necessary	necessary	jj
cars	car	nn2
,	,	y
rail	rail	nn1
men	man	nn2
say	say	vv0
it	it	pph1
is	be	vbz
necessary	necessary	jj
to	to	to@
work	work	vvi
out	out	rp
some	some	dd
method	method	nn1
of	of	io
"	"	"
assembly	assembly	nn1
line	line	nn1
,	,	y
"	"	"
or	or	cc
mass	mass	jj_nn1
production	production	nn1
of	of	io
cars	car	nn2
.	.	y
An	an	at1
effort	effort	nn1
will	will	vm
be	be	vbi
made	make	vvn
,	,	y
in	in	ii31
cooperation	cooperation	ii32
with	with	ii33
the	the	at
manufacturers	manufacturer	nn2
,	,	y
to	to	to
standardize	standardize	vvi
orders	order	nn2
so	so	cs21
that	that	cs22
each	each	dd1
manufacturer	manufacturer	nn1
can	can	vm
concentrate	concentrate	vvi
on	on	ii_rp@
a	a	at1
relatively	relatively	rr
few	few	da2
car	car	nn1
types	type	nn2
or	or	cc
even	even	rr
one	one	mc1
type	type	nn1
.	.	y
