@@706451	##	fo
txt	txt	nnu
J.	j.-a	np1
Carlton	carlton	np1
Ward	ward	np1
Jr	jr	nna
?	?	y
president	president	nn1
of	of	io
the	the	at
Fairchild	fairchild	nn1_np1
Engine	engine	nn1
and	and	cc
Airplane	airplane	np1_nn1
corporation	corporation	nn1
,	,	y
today	today	rt
estimated	estimate	vvd_vvn
the	the	at
airplane	airplane	nn1
output	output	nn1
of	of	io
the	the	at
united	united	jj
nations	nation	nn2
at	at	ii
8,600	8,600	mc
monthly	monthly	jj
,	,	y
or	or	cc
exactly	exactly	rr
double	double	vv0@
the	the	at
axis	axis	nn1
production	production	nn1
.	.	y
He	he	pphs1
said	say	vvd
his	his	appge
figures	figure	nn2
were	be	vbdr
"	"	"
based	base	vvn
on	on	ii
sufficient	sufficient	jj
authority	authority	nn1
to	to	to
give	give	vvi
them	them	ppho2
validity	validity	nn1
as	as	csa_ii@
engineering	engineering	nn1
data	data	nn
.	.	y
"	"	"
He	he	pphs1
estimated	estimate	vvd
enemy	enemy	nn1
production	production	nn1
as	as	ii@
:	:	y
Germany	germany	np1
and	and	cc
occupied	occupied	jj@_vvn
territory	territory	nn1
,	,	y
2,900	2,900	mc
;	;	y
Italy	italy	np1
,	,	y
700	700	mc
,	,	y
and	and	cc
Japan	japan	np1
,	,	y
500	500	mc
.	.	y
His	his	appge
figures	figure	nn2
on	on	ii
united	united	jj
nations	nation	nn2
output	output	nn1_vvn@
were	be	vbdr
:	:	y
United	united	np1
States	state	np1
,	,	y
3,300	3,300	mc
;	;	y
Great	great	np1
Britain	britain	np1
,	,	y
2,400	2,400	mc
,	,	y
and	and	cc
Russia	russia	np1
,	,	y
2,900	2,900	mc
.	.	y
Ward	ward	np1
said	say	vvd
he	he	pphs1
was	be	vbdz
sure	sure	jj_rr%
the	the	at
United	united	np1
States	state	np1
would	would	vm
reach	reach	vvi
President	president	nnb
Roosevelt	roosevelt	np1
's	's	ge
goal	goal	nn1
of	of	io
60,000	60,000	mc
planes	plane	nn2
in	in	ii
1942	1942	mc
,	,	y
but	but	ccb
cautioned	caution	vvd_vvn
,	,	y
"	"	"
Do	do	vd0
n't	n't	xx
forget	forget	vvi
that	that	dd1_cst
other	other	jj
powers	power	nn2
had	have	vhd
a	a	at1
tremendous	tremendous	jj
backlog	backlog	nn1
of	of	io
planes	plane	nn2
on	on	ii
hand	hand	nn1
.	.	y
"	"	"
He	he	pphs1
recalled	recall	vvd
that	that	cst
Hitler	hitler	np1
and	and	cc
Mussolini	mussolini	np1
had	have	vhd
started	start	vvn
production	production	nn1
in	in	ii
1933	1933	mc
,	,	y
Russia	russia	np1
probably	probably	rr
in	in	ii
1935	1935	mc
,	,	y
England	england	np1
in	in	ii
1938	1938	mc
,	,	y
and	and	cc
the	the	at
Japs	jap	nn2
about	about	ii
the	the	at
same	same	da
time	time	nnt1
.	.	y
